# Trainer class names: the English behind each key in lang/trainer_names.lua.
# Reference only, and deliberately outside the mod: this
# text comes out of the ROM, so it must not be shipped.

"OPP_AGATHA"	"AGATHA"
"OPP_BEAUTY"	"BEAUTY"
"OPP_BIKER"	"BIKER"
"OPP_BIRD_KEEPER"	"BIRD KEEPER"
"OPP_BLACKBELT"	"BLACKBELT"
"OPP_BLAINE"	"BLAINE"
"OPP_BROCK"	"BROCK"
"OPP_BRUNO"	"BRUNO"
"OPP_BUG_CATCHER"	"BUG CATCHER"
"OPP_BURGLAR"	"BURGLAR"
"OPP_CHANNELER"	"CHANNELER"
"OPP_CHIEF"	"CHIEF"
"OPP_COOLTRAINER_F"	"COOLTRAINERâ™€"
"OPP_COOLTRAINER_M"	"COOLTRAINERâ™‚"
"OPP_CUE_BALL"	"CUE BALL"
"OPP_ENGINEER"	"ENGINEER"
"OPP_ERIKA"	"ERIKA"
"OPP_FISHER"	"FISHERMAN"
"OPP_GAMBLER"	"GAMBLER"
"OPP_GENTLEMAN"	"GENTLEMAN"
"OPP_GIOVANNI"	"GIOVANNI"
"OPP_HIKER"	"HIKER"
"OPP_JR_TRAINER_F"	"JR.TRAINERâ™€"
"OPP_JR_TRAINER_M"	"JR.TRAINERâ™‚"
"OPP_JUGGLER"	"JUGGLER"
"OPP_KOGA"	"KOGA"
"OPP_LANCE"	"LANCE"
"OPP_LASS"	"LASS"
"OPP_LORELEI"	"LORELEI"
"OPP_LT_SURGE"	"LT.SURGE"
"OPP_MISTY"	"MISTY"
"OPP_POKEMANIAC"	"POKÃ©MANIAC"
"OPP_PROF_OAK"	"PROF.OAK"
"OPP_PSYCHIC_TR"	"PSYCHIC"
"OPP_RIVAL1"	"RIVAL1"
"OPP_RIVAL2"	"RIVAL2"
"OPP_RIVAL3"	"RIVAL3"
"OPP_ROCKER"	"ROCKER"
"OPP_ROCKET"	"ROCKET"
"OPP_SABRINA"	"SABRINA"
"OPP_SAILOR"	"SAILOR"
"OPP_SCIENTIST"	"SCIENTIST"
"OPP_SUPER_NERD"	"SUPER NERD"
"OPP_SWIMMER"	"SWIMMER"
"OPP_TAMER"	"TAMER"
"OPP_UNUSED_JUGGLER"	"JUGGLER"
"OPP_YOUNGSTER"	"YOUNGSTER"
